date,round_number,venue,bookmaker,source,home_team,away_team,home_odds,away_odds,calc_odds,real_odds,calc_odds_away,real_odds_away,percent_diff,percent_diff_away,exp_value_h,exp_value_a,home_win_probability,away_win_probability,probability,winner,market_probability,elo_probability,form_probability,injury_probability,market_weight,elo_weight,form_weight,injury_weight,home_votes,away_votes,ensemble_confidence,upset_risk,upset_flag,upset_reasons,home_injury_score,away_injury_score,home_injury_burden,away_injury_burden,home_injury_notes,away_injury_notes,home_rest_days,away_rest_days,home_last_3_record,away_last_3_record,market_pick,elo_pick,form_pick,injury_pick,home_score,away_score,actual_winner,correct_tip,market_favorite,upset_occurred,favorite_overconfidence_miss,market_correct,elo_correct,form_correct,injury_correct
2026-04-09,6,Accor Stadium,manual,round_6_user_input,Bulldogs,Panthers,1.0,1.0,2.84,1.0,1.54,1.0,95.77,42.78,-6.48,-3.52,0.3524,0.6476,0.6476,Panthers,0.5,0.4147,0.0078,0.5,0.31,0.23,0.26,0.2,2,2,split_2_of_4,0.24,True,"compressed_schedule,favorite_travel_local_underdog",-1.0,-1.0,1.0,1.0,seeded round profile one starting forward concern,seeded round profile light representative style disruption,6.0,6.0,1-2,3-0,Bulldogs,Panthers,Panthers,Bulldogs,32,16,Bulldogs,False,Bulldogs,False,False,True,False,False,True
2026-04-10,6,WIN Stadium,manual,round_6_user_input,Dragons,Sea Eagles,2.8,1.44,3.4,2.8,1.42,1.44,19.49,-1.69,-1.78,0.17,0.2937,0.7063,0.7063,Sea Eagles,0.3396,0.4371,0.0681,0.3511,0.31,0.23,0.26,0.2,0,4,unanimous_4_of_4,0.14,True,favorite_travel_local_underdog,-1.5,-1.0,1.5,1.0,seeded round profile multiple starters unavailable,seeded round profile one outside-back style absence,6.0,8.0,0-3,1-2,Sea Eagles,Sea Eagles,Sea Eagles,Sea Eagles,18,28,Sea Eagles,True,Sea Eagles,False,False,True,True,True,True
2026-04-10,6,Suncorp Stadium,manual,round_6_user_input,Broncos,Cowboys,1.85,1.95,2.05,1.85,1.95,1.95,10.26,0.12,-0.98,-0.01,0.4878,0.5122,0.5122,Cowboys,0.5132,0.6438,0.4419,0.3287,0.31,0.23,0.26,0.2,2,2,split_2_of_4,0.24,True,"compressed_schedule,favorite_travel_local_underdog",-1.5,-0.5,1.5,0.5,seeded round profile key starter plus bench cover,seeded round profile light bench disruption,6.0,6.0,3-0,3-0,Broncos,Broncos,Cowboys,Cowboys,31,35,Cowboys,True,Broncos,True,False,False,False,True,True
2026-04-11,6,Optus Stadium,manual,round_6_user_input,Rabbitohs,Raiders,1.53,2.5,1.56,1.53,2.77,2.5,2.21,10.34,-0.22,-0.98,0.6393,0.3607,0.6393,Rabbitohs,0.6203,0.5542,0.9309,0.3877,0.31,0.23,0.26,0.2,3,1,strong_3_of_4,0.0,False,,-1.5,-0.5,1.5,0.5,seeded round profile key starter and depth concern,seeded round profile light disruption,8.0,6.0,2-1,0-3,Rabbitohs,Rabbitohs,Rabbitohs,Raiders,34,36,Raiders,False,Rabbitohs,True,True,False,False,False,True
2026-04-11,6,Optus Stadium,manual,round_6_user_input,Sharks,Roosters,2.0,1.8,2.55,2.0,1.64,1.8,24.31,-9.08,-2.17,0.95,0.3916,0.6084,0.6084,Roosters,0.4737,0.5887,0.2959,0.1621,0.31,0.23,0.26,0.2,1,3,strong_3_of_4,0.14,True,long_haul_away_favorite,-1.0,-0.5,1.0,0.5,seeded round profile moderate availability hit,seeded round profile mostly stable side,6.0,16.0,2-1,2-1,Roosters,Sharks,Roosters,Roosters,22,34,Roosters,True,Roosters,False,False,True,False,True,True
2026-04-11,6,AAMI Park,manual,round_6_user_input,Storm,Warriors,1.36,3.2,1.97,1.36,2.04,3.2,36.41,-44.47,-3.08,5.72,0.5088,0.4912,0.5088,Storm,0.7018,0.6063,0.2856,0.3877,0.31,0.23,0.26,0.2,2,2,split_2_of_4,0.0,False,,-1.5,-0.5,1.5,0.5,seeded round profile multiple key rotation concerns,seeded round profile mostly stable side,8.0,6.0,0-3,1-2,Storm,Storm,Warriors,Warriors,14,38,Warriors,False,Storm,True,False,False,False,True,True
2026-04-12,6,CommBank Stadium,manual,round_6_user_input,Eels,Titans,1.62,2.3,2.1,1.62,1.91,2.3,25.84,-18.6,-2.29,2.05,0.476,0.524,0.524,Titans,0.5867,0.6764,0.554,0.1563,0.31,0.19,0.22,0.28,3,1,strong_3_of_4,0.24,True,"compressed_schedule,favorite_travel_local_underdog",-2.5,-0.5,2.5,0.5,seeded round profile multiple spine and pack concerns,seeded round profile light disruption,6.0,8.0,1-2,1-2,Eels,Eels,Eels,Titans,10,52,Titans,True,Eels,True,False,False,False,False,True
2026-04-12,6,Campbelltown Sports Stadium,manual,round_6_user_input,Wests Tigers,Knights,1.62,2.3,1.9,1.62,2.11,2.3,15.82,-8.47,-1.47,0.88,0.5268,0.4732,0.5268,Wests Tigers,0.5867,0.5773,0.3874,0.5569,0.31,0.23,0.26,0.2,3,1,strong_3_of_4,0.08,True,underdog_local,-0.5,-1.0,0.5,1.0,seeded round profile light disruption,seeded round profile one key starter concern,6.0,7.0,2-1,2-1,Wests Tigers,Wests Tigers,Knights,Wests Tigers,42,22,Wests Tigers,True,Wests Tigers,False,False,True,True,False,True
